price_premium_band,n_listings,median_silence_days,mean_silence_days,eligible_90_n,long_silent_90_share_all,long_silent_90_share_eligible,eligible_180_n,very_long_silent_180_share_all,very_long_silent_180_share_eligible,median_price_premium_pct
Below market (< -10%),3912,174,196.73900817995911,3036,0.7405419222903885,0.9542160737812911,2356,0.47494887525562374,0.7886247877758913,-20.75706544610631
Near market (-10% to +10%),3921,167,191.28283601122163,2957,0.7125733231318541,0.9448765640852215,2245,0.4429992348890589,0.7737193763919822,-0.03030159396541217
Moderately above (+10% to +30%),2171,168,192.18102257024412,1648,0.7130354675264855,0.9393203883495146,1274,0.4500230308613542,0.7668759811616954,18.372635225595808
Highly above (> +30%),1900,179.5,203.6421052631579,1528,0.7452631578947368,0.9267015706806283,1232,0.5,0.7711038961038961,45.6366862200034
