update_status,n_listings,eligible_90_n,median_silence_days_eligible_90,long_silent_90_share_eligible,eligible_180_n,median_silence_days_eligible_180,very_long_silent_180_share_eligible,median_update_delay_days
No recorded update,4666,3215,243,1,2145,301,1,0
Updated at least once,7238,5954,195,0.9136714813570709,4962,221,0.6805723498589279,40
