term,estimate_log_odds,std_error,z_value,p_value,odds_ratio,conf_low,conf_high
(Intercept),1.3166558423484755,0.05046031122170058,26.092899755684513,4.3891566804478235e-150,3.7309236947766715,3.379587404448226,4.1187843219928935
price_premium_bandModerately above (+10% to +30%),-0.12590132911057342,0.0832873406200501,-1.511650248084217,0.13062286154161715,0.8817018407962975,0.7489039684323213,1.0380478256656926
price_premium_bandNear market (-10% to +10%),-0.08722252368752184,0.07134738054235314,-1.22250491923449,0.22151674476444239,0.9164731359593362,0.7968702674410127,1.054027290580664
price_premium_bandHighly above (> +30%),-0.1021009286938896,0.08452790830969703,-1.2078960752205978,0.22708723944649153,0.9029384146749294,0.7650794234963001,1.0656380967218857
