portal_month,cadastre_publication_month,portal_price_raw,portal_price_smoothed,cadastre_price_raw,cadastre_price_smoothed,gap_raw_amd,gap_raw_pct,gap_smoothed_amd,gap_smoothed_pct
2024-04-01,2024-06-01,969766.8,969766.8,459722.7272727273,458904.54545454547,510044.07272727275,110.94602082282799,510862.2545454546,111.32211689893919
2024-05-01,2024-07-01,888480.5981308412,929123.6990654205,461568.1818181818,460031.8181818182,426912.41631265933,92.49173429394362,469091.88088360237,101.96944262194563
2024-06-01,2024-08-01,866164.22513089,908137.2077539105,463113.63636363635,461468.1818181818,403050.5887672537,87.03060266849468,446669.0259357286,96.79302789107916
2024-07-01,2024-09-01,937982.1366459627,897542.3199692313,466700,463793.9393939394,471282.1366459627,100.98181629439955,433748.38057529187,93.52178709840206
2024-08-01,2024-10-01,943805.2275449102,915983.8631072543,470790.9090909091,466868.1818181818,473014.31845400104,100.47227109108485,449115.68128907244,96.19753471740702
2024-09-01,2024-11-01,890720.3831775701,924169.2491228143,471868.1818181818,469786.36363636365,418852.20135938824,88.76466299242412,454382.8854864506,96.72117384789908
2024-10-01,2024-12-01,914942.5319148937,916489.3808791246,471481.8181818182,471380.30303030304,443460.7137330755,94.05680062980989,445109.0778488216,94.42674523890902
2024-11-01,2025-01-01,770192.5574468086,858618.4908464241,466481.8181818182,469943.9393939394,303710.7392649904,65.10666170200328,388674.55145248474,82.70657814073243
2024-12-01,2025-02-01,893617.3298969072,859584.1397528698,464418.1818181818,467460.6060606061,429199.1480787254,92.41652564040989,392123.53369226377,83.88376017324231
2025-01-01,2025-03-01,843583.8838383838,835797.9237273665,461972.7272727273,464290.9090909091,381611.15656565654,82.60469374859244,371507.0146364574,80.01600017624199
2025-02-01,2025-04-01,738817.037470726,825339.4170686724,461390.9090909091,462593.9393939394,277426.12837981683,60.128217291154904,362745.477674733,78.41552748182966
2025-03-01,2025-05-01,689945.3923444976,757448.7712178691,460136.36363636365,461166.6666666667,229809.02870813396,49.943679063310746,296282.10455120244,64.24620987738398
2025-04-01,2025-06-01,695607.4657258064,708123.2985136766,460218.1818181818,460581.8181818182,235389.2839076246,51.14732385793044,247541.48033185845,53.74538693451846
2025-05-01,2025-07-01,721118.6679764243,702223.8420155761,460736.36363636365,460363.63636363635,260382.30434006068,56.51438108444323,241860.20565193973,52.53677452944978
2025-06-01,2025-08-01,711649.8983957219,709458.6773659842,460418.1818181818,460457.57575757575,251231.7165775401,54.56598511931724,249001.10160840844,54.07688237048443
2025-07-01,2025-09-01,690920.0919282511,707896.2194334657,464200,461784.8484848485,226720.0919282511,48.84103660668916,246111.37094861723,53.29567909300782
