portal_month,n_listings,portal_raw_level,portal_mean_level,portal_median_level,portal_smooth_level,portal_raw_abs_change,portal_raw_pct_change,portal_smooth_abs_change,portal_smooth_pct_change,lag_months,cadastre_publication_month,cadastre_raw_level,cadastre_smooth_level,cadastre_raw_abs_change,cadastre_raw_pct_change,cadastre_smooth_abs_change,cadastre_smooth_pct_change
2024-06-01,237,866164.22513089,888587.94092827,852946,908137.2077539105,-22316.372999951127,-0.025117456753585454,-20986.491311510094,-0.022587402875009932,0,2024-06-01,459722.7272727273,458904.54545454547,918.1818181818235,0.0020012483033970963,498.4848484848626,0.0010874307547894535
2024-07-01,199,937982.1366459627,970667.5175879397,866434,897542.3199692313,71817.91151507269,0.08291489007667097,-10594.887784679187,-0.011666615676813263,0,2024-07-01,461568.1818181818,460031.8181818182,1845.4545454545296,0.0040142773806346455,1127.272727272706,0.002456442714369178
2024-08-01,207,943805.2275449102,981297.7487922705,878876,915983.8631072543,5823.090898947441,0.006208104260673419,18441.543138023,0.020546711534064732,0,2024-08-01,463113.63636363635,461468.1818181818,1545.4545454545296,0.003348269240238233,1436.363636363647,0.0031223136739553237
2024-09-01,133,890720.3831775701,928228.1428571428,868454,924169.2491228143,-53084.84436734009,-0.056245550266158184,8185.386015560012,0.008936168359771068,0,2024-09-01,466700,463793.9393939394,3586.363636363647,0.00774402512636807,2325.7575757575687,0.005039908854807873
2024-10-01,293,914942.5319148937,946707.4334470989,904310,916489.3808791246,24222.148737323587,0.02719388620131613,-7679.868243689649,-0.00831002357087629,0,2024-10-01,470790.9090909091,466868.1818181818,4090.9090909091174,0.008765607651401552,3074.2424242424313,0.00662846614222623
2024-11-01,293,770192.5574468086,807242.9761092151,736616,858618.4908464241,-144749.9744680851,-0.15820662983623268,-57870.890032700496,-0.06314409227217554,0,2024-11-01,471868.1818181818,469786.36363636365,1077.272727272706,0.002288219051113094,2918.1818181818235,0.006250547653123828
2024-12-01,242,893617.3298969072,927952.3801652893,870256,859584.1397528698,123424.77245009865,0.1602518373577282,965.6489064457128,0.0011246542169081053,0,2024-12-01,471481.8181818182,471380.30303030304,-386.36363636364695,-8.187956960244991e-4,1593.9393939393922,0.0033929026411101404
2025-01-01,246,843583.8838383838,887710.8739837399,801419,835797.9237273665,-50033.446058523376,-0.055989789347858254,-23786.216025503352,-0.027671771645695897,0,2025-01-01,466481.8181818182,469943.9393939394,-5000,-0.010604862811638305,-1436.363636363647,-0.0030471439454086147
2025-02-01,533,738817.037470726,793715.7917448406,712800,825339.4170686724,-104766.84636765788,-0.12419256504872889,-10458.506658694125,-0.01251320009512924,0,2025-02-01,464418.1818181818,467460.6060606061,-2063.636363636353,-0.004423830218463154,-2483.333333333314,-0.005284318245567632
2025-03-01,522,689945.3923444976,739743.2068965518,646802,757448.7712178691,-48871.64512622834,-0.06614850855840582,-67890.64585080324,-0.0822578498576112,0,2025-03-01,461972.7272727273,464290.9090909091,-2445.4545454545296,-0.00526563050542217,-3169.696969696961,-0.006780671844005659
